mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 -9.000 9.000
Wprime_WZ_lvjj_M1000 -7.000 7.000
Wprime_WZ_lvjj_M1200 -8.000 7.000
Wprime_WZ_lvjj_M1400 -7.000 7.000
Wprime_WZ_lvjj_M1600 -7.000 7.000
Wprime_WZ_lvjj_M1800 -7.000 7.000
Wprime_WZ_lvjj_M2000 -7.000 6.000
Wprime_WZ_lvjj_M2500 -7.000 6.000
Wprime_WZ_lvjj_M3000 -7.000 6.000
Wprime_WZ_lvjj_M3500 -6.000 6.000
Wprime_WZ_lvjj_M4000 -6.000 6.000
Wprime_WZ_lvjj_M4500 -6.000 5.000
