mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 -1.242 -0.621
Wprime_WZ_lvjj_M1000 -5.556 -1.515
Wprime_WZ_lvjj_M1200 -2.353 0.784
Wprime_WZ_lvjj_M1400 -0.730 1.460
Wprime_WZ_lvjj_M1600 -6.287 -2.395
Wprime_WZ_lvjj_M1800 2.492 3.738
Wprime_WZ_lvjj_M2000 -0.575 0.575
Wprime_WZ_lvjj_M2500 -5.783 0.964
Wprime_WZ_lvjj_M3000 3.526 0.000
Wprime_WZ_lvjj_M3500 -0.460 0.690
Wprime_WZ_lvjj_M4000 -0.395 0.198
Wprime_WZ_lvjj_M4500 0.401 -1.002
