mass JMRUp JMRDown

BulkG_WW_lvjj_M800 -0.232 0.375
BulkG_WW_lvjj_M1000 -0.346 0.609
BulkG_WW_lvjj_M1200 0.123 0.172
BulkG_WW_lvjj_M1400 -0.555 -0.081
BulkG_WW_lvjj_M1600 -0.509 0.373
BulkG_WW_lvjj_M1800 -0.155 0.421
BulkG_WW_lvjj_M2000 0.032 0.699
BulkG_WW_lvjj_M2500 -0.256 0.224
BulkG_WW_lvjj_M3000 -0.158 0.462
BulkG_WW_lvjj_M3500 -0.330 0.155
BulkG_WW_lvjj_M4000 -0.281 0.271
BulkG_WW_lvjj_M4500 -0.626 0.516
