mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 8.416 6.436
Wprime_WZ_lvjj_M1000 -2.679 -1.786
Wprime_WZ_lvjj_M1200 -2.216 -1.662
Wprime_WZ_lvjj_M1400 -2.090 5.373
Wprime_WZ_lvjj_M1600 0.257 4.113
Wprime_WZ_lvjj_M1800 -2.174 -0.242
Wprime_WZ_lvjj_M2000 -1.882 1.176
Wprime_WZ_lvjj_M2500 2.844 -0.474
Wprime_WZ_lvjj_M3000 -0.422 -2.954
Wprime_WZ_lvjj_M3500 -0.952 -1.714
Wprime_WZ_lvjj_M4000 0.935 2.243
Wprime_WZ_lvjj_M4500 -3.831 -2.218
