mass JMRUp JMRDown

BulkG_WW_lvjj_M800 -7.692 -2.885
BulkG_WW_lvjj_M1000 -1.042 1.042
BulkG_WW_lvjj_M1200 1.136 4.261
BulkG_WW_lvjj_M1400 0.222 2.217
BulkG_WW_lvjj_M1600 -1.661 0.369
BulkG_WW_lvjj_M1800 -0.349 3.141
BulkG_WW_lvjj_M2000 -3.693 1.562
BulkG_WW_lvjj_M2500 -2.827 -0.589
BulkG_WW_lvjj_M3000 -4.570 -0.106
BulkG_WW_lvjj_M3500 -0.512 2.047
BulkG_WW_lvjj_M4000 -2.328 0.741
BulkG_WW_lvjj_M4500 1.544 1.764
