mass JMRUp JMRDown

Zprime_WZ_lvjj_M800 2.073 0.518
Zprime_WZ_lvjj_M1000 0.702 2.105
Zprime_WZ_lvjj_M1200 -1.453 3.148
Zprime_WZ_lvjj_M1400 -1.709 0.214
Zprime_WZ_lvjj_M1800 -0.791 2.690
Zprime_WZ_lvjj_M2000 -0.296 1.185
Zprime_WZ_lvjj_M2500 -0.387 1.933
Zprime_WZ_lvjj_M3000 0.438 1.641
Zprime_WZ_lvjj_M3500 -2.231 0.203
Zprime_WZ_lvjj_M4000 -2.071 0.690
Zprime_WZ_lvjj_M4500 0.000 -0.466
