mass JMRUp JMRDown

BulkG_WW_lvjj_M800 -0.210 0.509
BulkG_WW_lvjj_M1000 -0.284 0.342
BulkG_WW_lvjj_M1200 -0.389 0.380
BulkG_WW_lvjj_M1400 -0.259 0.360
BulkG_WW_lvjj_M1600 -0.676 0.250
BulkG_WW_lvjj_M1800 -0.404 0.122
BulkG_WW_lvjj_M2000 -0.323 0.269
BulkG_WW_lvjj_M2500 -0.610 0.333
BulkG_WW_lvjj_M3000 0.009 0.284
BulkG_WW_lvjj_M3500 -0.147 0.323
BulkG_WW_lvjj_M4000 -0.477 0.350
BulkG_WW_lvjj_M4500 -0.491 0.286
