mass JESUp JESDown

Wprime_WZ_lvjj_M800 -6.803 7.483
Wprime_WZ_lvjj_M1000 -5.405 2.703
Wprime_WZ_lvjj_M1200 -5.735 4.659
Wprime_WZ_lvjj_M1400 -3.073 2.235
Wprime_WZ_lvjj_M1600 -6.266 4.700
Wprime_WZ_lvjj_M1800 -3.829 6.532
Wprime_WZ_lvjj_M2000 -5.788 5.389
Wprime_WZ_lvjj_M2500 -3.443 5.082
Wprime_WZ_lvjj_M3000 -6.051 5.144
Wprime_WZ_lvjj_M3500 -3.963 6.605
Wprime_WZ_lvjj_M4000 -5.046 6.242
Wprime_WZ_lvjj_M4500 -4.167 2.525
