mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 -1.976 1.764
Wprime_WZ_lvjj_M1000 -2.157 1.925
Wprime_WZ_lvjj_M1200 -0.574 1.814
Wprime_WZ_lvjj_M1400 -1.137 1.469
Wprime_WZ_lvjj_M1600 -0.695 1.692
Wprime_WZ_lvjj_M1800 -1.858 1.115
Wprime_WZ_lvjj_M2000 -1.047 0.733
Wprime_WZ_lvjj_M2500 -1.237 0.904
Wprime_WZ_lvjj_M3000 -1.931 0.000
Wprime_WZ_lvjj_M3500 -0.851 1.186
Wprime_WZ_lvjj_M4000 -1.516 -0.621
Wprime_WZ_lvjj_M4500 -0.402 1.324
