mass JMSUp JMSDown

BulkG_WW_lvjj_M800 15.750 -15.953
BulkG_WW_lvjj_M1200 23.618 -23.233
BulkG_WW_lvjj_M1400 27.859 -22.278
BulkG_WW_lvjj_M1600 29.262 -23.257
BulkG_WW_lvjj_M1800 30.213 -24.576
BulkG_WW_lvjj_M2000 28.011 -23.714
BulkG_WW_lvjj_M2500 25.936 -23.369
BulkG_WW_lvjj_M3000 24.867 -23.177
BulkG_WW_lvjj_M3500 25.877 -19.298
BulkG_WW_lvjj_M4000 19.720 -18.955
BulkG_WW_lvjj_M4500 20.280 -17.701
