mass JESUp JESDown

Wprime_WZ_lvjj_M800 1.189 -1.189
Wprime_WZ_lvjj_M1000 1.876 -2.275
Wprime_WZ_lvjj_M1200 3.123 -3.786
Wprime_WZ_lvjj_M1400 3.865 -4.578
Wprime_WZ_lvjj_M1600 4.090 -5.814
Wprime_WZ_lvjj_M1800 5.068 -6.112
Wprime_WZ_lvjj_M2000 6.016 -6.693
Wprime_WZ_lvjj_M2500 6.458 -7.757
Wprime_WZ_lvjj_M3000 6.429 -7.712
Wprime_WZ_lvjj_M3500 5.518 -7.458
Wprime_WZ_lvjj_M4000 6.107 -7.146
Wprime_WZ_lvjj_M4500 5.475 -7.882
