mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 3.756 -1.878
Wprime_WZ_lvjj_M1000 0.606 -1.212
Wprime_WZ_lvjj_M1200 2.609 -2.029
Wprime_WZ_lvjj_M1400 2.047 -2.924
Wprime_WZ_lvjj_M1600 3.937 -3.675
Wprime_WZ_lvjj_M1800 5.412 -3.351
Wprime_WZ_lvjj_M2000 4.390 -4.634
Wprime_WZ_lvjj_M2500 3.659 -6.341
Wprime_WZ_lvjj_M3000 3.620 -6.561
Wprime_WZ_lvjj_M3500 3.162 -6.126
Wprime_WZ_lvjj_M4000 5.825 -4.854
Wprime_WZ_lvjj_M4500 3.178 -4.661
