mass JMSUp JMSDown

Zprime_WZ_lvjj_M800 -3.924 3.991
Zprime_WZ_lvjj_M1000 -3.047 2.741
Zprime_WZ_lvjj_M1200 -2.465 2.058
Zprime_WZ_lvjj_M1400 -1.860 1.636
Zprime_WZ_lvjj_M1800 -1.418 1.418
Zprime_WZ_lvjj_M2000 -1.440 1.380
Zprime_WZ_lvjj_M2500 -1.230 1.047
Zprime_WZ_lvjj_M3000 -1.147 1.370
Zprime_WZ_lvjj_M3500 -1.169 1.169
Zprime_WZ_lvjj_M4000 -1.275 1.048
Zprime_WZ_lvjj_M4500 -1.613 0.940
