mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 0.000 -2.000
Wprime_WZ_lvjj_M1000 1.000 -2.000
Wprime_WZ_lvjj_M1200 2.000 -3.000
Wprime_WZ_lvjj_M1400 2.000 -3.000
Wprime_WZ_lvjj_M1600 2.000 -4.000
Wprime_WZ_lvjj_M1800 3.000 -4.000
Wprime_WZ_lvjj_M2000 3.000 -4.000
Wprime_WZ_lvjj_M2500 3.000 -4.000
Wprime_WZ_lvjj_M3000 3.000 -4.000
Wprime_WZ_lvjj_M3500 2.000 -4.000
Wprime_WZ_lvjj_M4000 2.000 -4.000
Wprime_WZ_lvjj_M4500 2.000 -4.000
