mass JESUp JESDown

Wprime_WZ_lvjj_M800 -1.788 1.569
Wprime_WZ_lvjj_M1000 -1.826 1.249
Wprime_WZ_lvjj_M1200 -1.256 0.892
Wprime_WZ_lvjj_M1400 -0.972 0.529
Wprime_WZ_lvjj_M1600 -0.486 0.455
Wprime_WZ_lvjj_M1800 -0.545 0.331
Wprime_WZ_lvjj_M2000 -0.350 0.303
Wprime_WZ_lvjj_M2500 -0.511 0.409
Wprime_WZ_lvjj_M3000 -0.652 0.266
Wprime_WZ_lvjj_M3500 -0.758 0.573
Wprime_WZ_lvjj_M4000 -1.018 0.666
Wprime_WZ_lvjj_M4500 -1.185 1.033
