mass JESUp JESDown

Wprime_WZ_lvjj_M800 -1.128 0.000
Wprime_WZ_lvjj_M1000 0.276 0.276
Wprime_WZ_lvjj_M1200 -0.447 0.224
Wprime_WZ_lvjj_M1400 -0.189 -0.189
Wprime_WZ_lvjj_M1600 -0.309 -0.463
Wprime_WZ_lvjj_M1800 0.556 -0.694
Wprime_WZ_lvjj_M2000 0.611 -0.733
Wprime_WZ_lvjj_M2500 0.751 -1.073
Wprime_WZ_lvjj_M3000 0.891 -1.287
Wprime_WZ_lvjj_M3500 1.019 -1.296
Wprime_WZ_lvjj_M4000 1.224 -1.061
Wprime_WZ_lvjj_M4500 0.931 -1.185
