mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 -1.160 1.172
Wprime_WZ_lvjj_M1000 -0.591 0.620
Wprime_WZ_lvjj_M1200 -0.355 0.266
Wprime_WZ_lvjj_M1400 -0.388 0.236
Wprime_WZ_lvjj_M1600 -0.363 0.160
Wprime_WZ_lvjj_M1800 -0.107 0.198
Wprime_WZ_lvjj_M2000 -0.090 0.213
Wprime_WZ_lvjj_M2500 -0.057 -0.073
Wprime_WZ_lvjj_M3000 -0.145 0.187
Wprime_WZ_lvjj_M3500 -0.289 0.255
Wprime_WZ_lvjj_M4000 -0.283 0.177
Wprime_WZ_lvjj_M4500 -0.197 0.268
