mass JESUp JESDown

Wprime_WZ_lvjj_M800 -11.385 11.554
Wprime_WZ_lvjj_M1000 -10.040 9.821
Wprime_WZ_lvjj_M1200 -10.124 10.302
Wprime_WZ_lvjj_M1400 -9.827 11.239
Wprime_WZ_lvjj_M1600 -9.733 12.994
Wprime_WZ_lvjj_M1800 -10.956 11.958
Wprime_WZ_lvjj_M2000 -11.138 12.270
Wprime_WZ_lvjj_M2500 -11.598 12.487
Wprime_WZ_lvjj_M3000 -11.991 13.948
Wprime_WZ_lvjj_M3500 -11.061 13.754
Wprime_WZ_lvjj_M4000 -12.445 12.676
Wprime_WZ_lvjj_M4500 -12.235 14.147
