mass JESUp JESDown

Wprime_WZ_lvjj_M800 -4.950 0.000
Wprime_WZ_lvjj_M1000 -4.192 4.790
Wprime_WZ_lvjj_M1200 -6.915 9.043
Wprime_WZ_lvjj_M1400 -6.504 6.504
Wprime_WZ_lvjj_M1600 -4.908 5.828
Wprime_WZ_lvjj_M1800 -6.888 5.357
Wprime_WZ_lvjj_M2000 -3.609 5.732
Wprime_WZ_lvjj_M2500 -2.885 5.000
Wprime_WZ_lvjj_M3000 -4.235 6.189
Wprime_WZ_lvjj_M3500 -3.555 3.555
Wprime_WZ_lvjj_M4000 -3.905 5.439
Wprime_WZ_lvjj_M4500 -3.250 4.284
