mass JMSUp JMSDown

Zprime_WZ_lvjj_M800 10.000 -7.143
Zprime_WZ_lvjj_M1000 4.040 -5.051
Zprime_WZ_lvjj_M1200 4.202 -11.765
Zprime_WZ_lvjj_M1400 4.040 -11.111
Zprime_WZ_lvjj_M1800 9.259 -12.037
Zprime_WZ_lvjj_M2000 8.257 -7.339
Zprime_WZ_lvjj_M2500 10.753 -8.602
Zprime_WZ_lvjj_M3000 6.767 -12.030
Zprime_WZ_lvjj_M3500 7.031 -8.594
Zprime_WZ_lvjj_M4000 13.433 -8.209
Zprime_WZ_lvjj_M4500 10.241 -3.614
