mass JMSUp JMSDown

BulkG_WW_lvjj_M800 6.417 -10.695
BulkG_WW_lvjj_M1200 23.188 -17.391
BulkG_WW_lvjj_M1400 15.976 -17.751
BulkG_WW_lvjj_M1600 25.781 -22.656
BulkG_WW_lvjj_M1800 24.113 -22.695
BulkG_WW_lvjj_M2000 21.854 -21.854
BulkG_WW_lvjj_M2500 28.025 -21.019
BulkG_WW_lvjj_M3000 22.807 -21.637
BulkG_WW_lvjj_M3500 20.000 -16.111
BulkG_WW_lvjj_M4000 24.631 -13.793
BulkG_WW_lvjj_M4500 21.463 -21.951
