mass JMRUp JMRDown

BulkG_WW_M1000 4.000 1.000
BulkG_WW_M1200 4.000 0.000
BulkG_WW_M1400 3.000 -6.000
BulkG_WW_M1600 8.000 -2.000
BulkG_WW_M1800 8.000 -4.000
BulkG_WW_M2000 7.000 -10.000
BulkG_WW_M2500 2.000 -6.000
BulkG_WW_M3000 4.000 -4.000
BulkG_WW_M3500 9.000 1.000
BulkG_WW_M4000 2.000 -5.000
BulkG_WW_M4500 6.000 2.000
