mass JMRUp JMRDown

Wprime_WZ_M1000 11.000 -8.000
Wprime_WZ_M1200 -2.000 1.000
Wprime_WZ_M1400 -2.000 -2.000
Wprime_WZ_M1600 -2.000 1.000
Wprime_WZ_M1800 -2.000 3.000
Wprime_WZ_M2000 -1.000 0.000
Wprime_WZ_M2500 -3.000 -2.000
Wprime_WZ_M3000 1.000 1.000
Wprime_WZ_M3500 -3.000 -1.000
Wprime_WZ_M4000 -2.000 0.000
Wprime_WZ_M4500 -3.000 -1.000
