mass JMRUp JMRDown

BulkG_ZZ_M1000 9.000 -5.000
BulkG_ZZ_M1200 6.000 1.000
BulkG_ZZ_M1400 0.000 -8.000
BulkG_ZZ_M1600 3.000 -6.000
BulkG_ZZ_M1800 -4.000 -7.000
BulkG_ZZ_M2000 0.000 -3.000
BulkG_ZZ_M2500 2.000 -1.000
BulkG_ZZ_M3000 1.000 -3.000
BulkG_ZZ_M3500 0.000 -6.000
BulkG_ZZ_M4000 -2.000 0.000
BulkG_ZZ_M4500 -1.000 0.000
