mass JESUp JESDown

BulkG_WW_M1000 -7.000 -2.000
BulkG_WW_M1200 -13.000 9.000
BulkG_WW_M1400 -10.000 8.000
BulkG_WW_M1600 -10.000 6.000
BulkG_WW_M1800 -9.000 5.000
BulkG_WW_M2000 -8.000 4.000
BulkG_WW_M2500 -8.000 7.000
BulkG_WW_M3000 -11.000 7.000
BulkG_WW_M3500 -10.000 6.000
BulkG_WW_M4000 -10.000 5.000
BulkG_WW_M4500 -12.000 7.000
