mass JMSUp JMSDown

BulkG_WW_M1000 4.000 -4.000
BulkG_WW_M1200 8.000 -6.000
BulkG_WW_M1400 10.000 -10.000
BulkG_WW_M1600 9.000 -10.000
BulkG_WW_M1800 11.000 -12.000
BulkG_WW_M2000 11.000 -11.000
BulkG_WW_M2500 11.000 -12.000
BulkG_WW_M3000 9.000 -11.000
BulkG_WW_M3500 7.000 -6.000
BulkG_WW_M4000 7.000 -8.000
BulkG_WW_M4500 6.000 -7.000
