mass JMSUp JMSDown

BulkG_ZZ_M1000 -33.000 35.000
BulkG_ZZ_M1200 -24.000 32.000
BulkG_ZZ_M1400 -25.000 32.000
BulkG_ZZ_M1600 -25.000 30.000
BulkG_ZZ_M1800 -28.000 35.000
BulkG_ZZ_M2000 -21.000 31.000
BulkG_ZZ_M2500 -23.000 32.000
BulkG_ZZ_M3000 -22.000 27.000
BulkG_ZZ_M3500 -21.000 26.000
BulkG_ZZ_M4000 -21.000 22.000
BulkG_ZZ_M4500 -20.000 24.000
