mass JMRUp JMRDown

BulkG_ZZ_M1000 2.000 -4.000
BulkG_ZZ_M1200 0.000 0.000
BulkG_ZZ_M1400 1.000 -4.000
BulkG_ZZ_M1600 -5.000 -3.000
BulkG_ZZ_M1800 -4.000 -3.000
BulkG_ZZ_M2000 -3.000 -3.000
BulkG_ZZ_M2500 -2.000 -1.000
BulkG_ZZ_M3000 -2.000 -3.000
BulkG_ZZ_M3500 -4.000 -2.000
BulkG_ZZ_M4000 1.000 3.000
BulkG_ZZ_M4500 -1.000 -1.000
