mass JMRUp JMRDown

BulkG_WW_M1000 -10.000 4.000
BulkG_WW_M1200 -8.000 4.000
BulkG_WW_M1400 -7.000 9.000
BulkG_WW_M1600 -11.000 4.000
BulkG_WW_M1800 -8.000 5.000
BulkG_WW_M2000 -8.000 7.000
BulkG_WW_M2500 -5.000 7.000
BulkG_WW_M3000 -8.000 4.000
BulkG_WW_M3500 -10.000 1.000
BulkG_WW_M4000 -9.000 7.000
BulkG_WW_M4500 -9.000 2.000
