mass JESUp JESDown

Wprime_WZ_M1000 6.000 -11.000
Wprime_WZ_M1200 -2.000 -1.000
Wprime_WZ_M1400 -1.000 -1.000
Wprime_WZ_M1600 -1.000 -1.000
Wprime_WZ_M1800 0.000 -1.000
Wprime_WZ_M2000 0.000 -1.000
Wprime_WZ_M2500 0.000 -1.000
Wprime_WZ_M3000 -1.000 0.000
Wprime_WZ_M3500 -2.000 0.000
Wprime_WZ_M4000 -1.000 0.000
Wprime_WZ_M4500 -2.000 0.000
