mass JESUp JESDown

BulkG_WW_M1000 11.000 -16.000
BulkG_WW_M1200 17.000 -16.000
BulkG_WW_M1400 20.000 -21.000
BulkG_WW_M1600 24.000 -25.000
BulkG_WW_M1800 25.000 -24.000
BulkG_WW_M2000 28.000 -24.000
BulkG_WW_M2500 23.000 -25.000
BulkG_WW_M3000 22.000 -25.000
BulkG_WW_M3500 22.000 -19.000
BulkG_WW_M4000 21.000 -18.000
BulkG_WW_M4500 15.000 -16.000
