mass JESUp JESDown

BulkG_WW_M1000 52.000 -36.000
BulkG_WW_M1200 69.000 -40.000
BulkG_WW_M1400 76.000 -39.000
BulkG_WW_M1600 78.000 -36.000
BulkG_WW_M1800 81.000 -48.000
BulkG_WW_M2000 89.000 -54.000
BulkG_WW_M2500 74.000 -42.000
BulkG_WW_M3000 90.000 -36.000
BulkG_WW_M3500 74.000 -40.000
BulkG_WW_M4000 65.000 -38.000
BulkG_WW_M4500 56.000 -47.000
