mass JESUp JESDown

Wprime_WZ_M1000 27.000 -26.000
Wprime_WZ_M1200 34.000 -30.000
Wprime_WZ_M1400 38.000 -35.000
Wprime_WZ_M1600 42.000 -33.000
Wprime_WZ_M1800 47.000 -33.000
Wprime_WZ_M2000 55.000 -36.000
Wprime_WZ_M2500 43.000 -35.000
Wprime_WZ_M3000 37.000 -30.000
Wprime_WZ_M3500 39.000 -32.000
Wprime_WZ_M4000 33.000 -32.000
Wprime_WZ_M4500 35.000 -29.000
