mass JMRUp JMRDown

BulkG_WW_M1000 -1.000 0.000
BulkG_WW_M1200 -1.000 0.000
BulkG_WW_M1400 -2.000 0.000
BulkG_WW_M1600 -1.000 1.000
BulkG_WW_M1800 -2.000 0.000
BulkG_WW_M2000 -2.000 -1.000
BulkG_WW_M2500 -1.000 0.000
BulkG_WW_M3000 -2.000 0.000
BulkG_WW_M3500 -2.000 0.000
BulkG_WW_M4000 -1.000 0.000
BulkG_WW_M4500 -2.000 0.000
