mass JESUp JESDown

BulkG_ZZ_M1000 11.000 -14.000
BulkG_ZZ_M1200 8.000 -14.000
BulkG_ZZ_M1400 10.000 -15.000
BulkG_ZZ_M1600 12.000 -17.000
BulkG_ZZ_M1800 19.000 -19.000
BulkG_ZZ_M2000 18.000 -23.000
BulkG_ZZ_M2500 18.000 -24.000
BulkG_ZZ_M3000 17.000 -20.000
BulkG_ZZ_M3500 21.000 -23.000
BulkG_ZZ_M4000 17.000 -20.000
BulkG_ZZ_M4500 15.000 -21.000
