mass JMRUp JMRDown

BulkG_ZZ_M1000 39.000 -22.000
BulkG_ZZ_M1200 3.000 -9.000
BulkG_ZZ_M1400 12.000 -4.000
BulkG_ZZ_M1600 3.000 -8.000
BulkG_ZZ_M1800 6.000 0.000
BulkG_ZZ_M2000 13.000 1.000
BulkG_ZZ_M2500 2.000 -3.000
BulkG_ZZ_M3000 5.000 -4.000
BulkG_ZZ_M3500 2.000 -5.000
BulkG_ZZ_M4000 -2.000 -9.000
BulkG_ZZ_M4500 -5.000 -8.000
