mass JMRUp JMRDown

Wprime_WZ_M1000 3.000 -5.000
Wprime_WZ_M1200 -2.000 0.000
Wprime_WZ_M1400 -3.000 2.000
Wprime_WZ_M1600 -6.000 -1.000
Wprime_WZ_M1800 -2.000 2.000
Wprime_WZ_M2000 -3.000 0.000
Wprime_WZ_M2500 -3.000 0.000
Wprime_WZ_M3000 -6.000 2.000
Wprime_WZ_M3500 -4.000 0.000
Wprime_WZ_M4000 -1.000 1.000
Wprime_WZ_M4500 -2.000 2.000
